,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
8966,570310600460525568,negative,0.6292,Flight Booking Problems,0.3146,,jhazelnut,,0,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,,2015-02-24 11:53:37 -0800,,
8967,570310144459972608,negative,1.0,Customer Service Issue,1.0,,GAKotsch,,0,@USAirways and when will one of these agents be available to speak?,,2015-02-24 11:51:48 -0800,,Atlantic Time (Canada)
8968,570309340952993796,neutral,1.0,,,,DebbiMcGinnis,,0,@USAirways is a DM possible if you aren't following me?,,2015-02-24 11:48:37 -0800,Missourah,Hawaii
8969,570309000279023616,neutral,1.0,,,,AshleyKAtherton,,0,@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.,,2015-02-24 11:47:16 -0800,,Central Time (US & Canada)
8970,570308799950692353,negative,1.0,Customer Service Issue,0.6452,,retardedlarry,,0,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,,2015-02-24 11:46:28 -0800,,
8971,570308156699611137,neutral,1.0,,,,AshleyKAtherton,,0,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!,,2015-02-24 11:43:55 -0800,,Central Time (US & Canada)
8972,570307605631012864,negative,1.0,Customer Service Issue,1.0,,Matt_Bernanke,,0,@USAirways you're killing me from the inside,,2015-02-24 11:41:43 -0800,,Quito
8973,570307109218340865,negative,0.7020000000000001,Flight Attendant Complaints,0.7020000000000001,,jeremyleewhite,,0,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.,"[35.21979387, -80.94498281]",2015-02-24 11:39:45 -0800,,
8974,570307011981783040,positive,1.0,,,,noelzucchero,,0,@USAirways we were moved to a delta direct. Thank you for the accommodations!,,2015-02-24 11:39:22 -0800,,Eastern Time (US & Canada)
8975,570306867135696897,neutral,1.0,,,,AshleyKAtherton,,0,"@USAirways agree! Richard P. Literally ripped up our tixs in our faces and made rude, inappropriate comments to us and our family. Awful!",,2015-02-24 11:38:47 -0800,,Central Time (US & Canada)
8976,570306715880706049,negative,1.0,Bad Flight,0.6505,,Anthony_Scerri,,0,@USAirways flight 645 to Phoenix deboards passengers going to Salt Lake City because they can't resolve a simple bathroom issue. #fail,,2015-02-24 11:38:11 -0800,"Astoria, NY",Quito
8977,570304779412508673,negative,1.0,Customer Service Issue,0.7072,,TheOnlyJasonS,,1,@USAirways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,,2015-02-24 11:30:29 -0800,,
8978,570304740279640064,neutral,0.6665,,0.0,,eec_x3,,0,@USAirways shout out to Cathy at the Vegas airport check-in for hooking us up!,,2015-02-24 11:30:20 -0800,Paper Street,Eastern Time (US & Canada)
8979,570304445336178688,negative,1.0,Customer Service Issue,0.66,,justdetric,,0,@USAirways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,,2015-02-24 11:29:10 -0800,"Raleigh, NC",Eastern Time (US & Canada)
8980,570304440017788929,negative,1.0,Customer Service Issue,1.0,,djndc4l,,0,@USAirways I finally got through on the phone after a 2 hour wait time.,,2015-02-24 11:29:08 -0800,,
8981,570304244001193984,negative,1.0,longlines,0.3663,,Anthony_Scerri,,0,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund,,2015-02-24 11:28:22 -0800,"Astoria, NY",Quito
8982,570304059384713218,neutral,1.0,,,,kschus1,,0,@USAirways will you be issuing a travel advisory for CLT for Thursday?  A significant snow storm is in the way Wednesday night.,,2015-02-24 11:27:38 -0800,,
8983,570303720308809728,negative,1.0,Customer Service Issue,1.0,,jhazelnut,,0,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,,2015-02-24 11:26:17 -0800,,
8984,570302717085790209,negative,1.0,Customer Service Issue,0.6519,,TheOnlyJasonS,,1,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,,2015-02-24 11:22:18 -0800,,
8985,570302023968694272,positive,0.6652,,,,RickAdamek,,0,@USAirways Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy,"[33.43720156, -111.99928786]",2015-02-24 11:19:32 -0800,"Fort Mill, SC",Eastern Time (US & Canada)
8986,570300325917270018,negative,1.0,Customer Service Issue,0.698,,GAKotsch,,0,@USAirways I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised.,,2015-02-24 11:12:48 -0800,,Atlantic Time (Canada)
8987,570298036938772483,negative,1.0,Customer Service Issue,0.6915,,hsgoldstein,,0,@USAirways Why haven't you issued a travel advisory for Charlotte Wednesday night and Thursday? 4-6 inches of snow.,,2015-02-24 11:03:42 -0800,,
8988,570297185704812545,neutral,1.0,,,,EricGuster,,0,@USAirways I need help about a ticket. DM me,,2015-02-24 11:00:19 -0800,✈️ Birmingham ✈️ Brooklyn ✈️,Central Time (US & Canada)
8989,570296537433186305,negative,0.66,Flight Attendant Complaints,0.66,,AshleyKAtherton,,0,@USAirways DeeDee and Lynn S. have been great here in PHX; Richard P. here was a jerk. Rude to us and our parents for no reason.,,2015-02-24 10:57:44 -0800,,Central Time (US & Canada)
8990,570296516314845185,negative,1.0,Cancelled Flight,0.3542,,airham_gouda,,0,@USAirways thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 😊,,2015-02-24 10:57:39 -0800,,
8991,570296273611448320,negative,0.6522,Late Flight,0.3478,,ashleycolburn,,0,@USAirways I have two tight connections in #Charlotte and #Frankfurt,,2015-02-24 10:56:41 -0800,San Diego,Pacific Time (US & Canada)
8992,570296212336865283,negative,0.6863,Late Flight,0.3585,,UyonJ,,0,"@USAirways Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!",,2015-02-24 10:56:27 -0800,,
8993,570295658185408512,positive,0.6778,,,,KenzieC_,,0,@USAirways thank you! I will be calling you! #CheapOairChat,,2015-02-24 10:54:15 -0800,"Boynton Beach, FL",Eastern Time (US & Canada)
8994,570295637708816384,negative,1.0,Customer Service Issue,0.6654,,CLChicosky,,0,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair",,2015-02-24 10:54:10 -0800,,
8995,570295405818335236,neutral,0.6329,,0.0,,oscarmichv,,0,"@USAirways I forgot my password and I don't know if my username is correct, and i want to use my miles, what i have to do??",,2015-02-24 10:53:14 -0800,Facebook: BÚFALOS F.C.,
8996,570295290063925249,neutral,0.669,,0.0,,renvas,,0,"@USAirways question, friend flight got Cancelled Flightled. How can he book be flight? Leaving CHS to Philly to Germany",,2015-02-24 10:52:47 -0800,Charleston/Houston,Quito
8997,570295202616889345,neutral,0.6843,,0.0,,djndc4l,,0,@USAirways Yes. Confirmation number and all.,,2015-02-24 10:52:26 -0800,,
8998,570294237348143104,neutral,1.0,,,,idk_but_youtube,,0,@USAirways did you know that suicide is the second leading cause of death among teens 10-24,,2015-02-24 10:48:36 -0800,1/1 loner squad,Eastern Time (US & Canada)
8999,570293289045364736,positive,1.0,,,,ToxicLayge,,0,"@USAirways getting sorted, thanks",,2015-02-24 10:44:50 -0800,,London
9000,570292371340062720,negative,0.6841,Can't Tell,0.6841,,ajbibbs,,0,@USAirways Sadly I'm currently booked on one of your flights tomorrow that I will be changing if I can.,,2015-02-24 10:41:11 -0800,,
9001,570291091204919297,neutral,0.6593,,0.0,,pinkgolftees,,0,@USAirways that is certainly not the impression she's under.,,2015-02-24 10:36:06 -0800,"Denver, CO",Mountain Time (US & Canada)
9002,570290730796777473,negative,0.6721,Late Flight,0.6721,,AshleyKAtherton,,0,@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.,,2015-02-24 10:34:40 -0800,,Central Time (US & Canada)
9003,570290421336813568,positive,1.0,,,,KenzieC_,,0,@USAirways thank you!!,,2015-02-24 10:33:26 -0800,"Boynton Beach, FL",Eastern Time (US & Canada)
9004,570289532953874432,neutral,0.6906,,0.0,,CapuanoESPN,,0,"@USAirways If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?",,2015-02-24 10:29:54 -0800,Wherever Travel Team C sent me,Eastern Time (US & Canada)
9005,570289473898082305,negative,0.6765,Can't Tell,0.3634,,djndc4l,,0,@USAirways Why can't I check in online for a flight tomorrow am?,,2015-02-24 10:29:40 -0800,,
9006,570288981847502850,negative,1.0,longlines,0.3542,,UyonJ,,0,@USAirways - been standing at the gate for 45 min trying to go standby bc I will miss my connection. No help! Do NOT fly US AIRWAYS!,,2015-02-24 10:27:43 -0800,,
9007,570288667790594048,negative,0.7033,Customer Service Issue,0.7033,,themainevent001,,0,"@USAirways after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough.",,2015-02-24 10:26:28 -0800,Saratoga Springs,
9008,570288445156941824,neutral,0.6609999999999999,,0.0,,alybullock,,0,@USAirways How do I get a receipt for a change fee when I originally booked with miles?,,2015-02-24 10:25:35 -0800,"Washington, DC",Eastern Time (US & Canada)
9009,570288039454486529,negative,0.6512,Flight Booking Problems,0.3256,,CLChicosky,,0,"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",,2015-02-24 10:23:58 -0800,,
9010,570287589216751616,neutral,1.0,,,,AshleyKAtherton,,0,@USAirways we even offered to fly in to another airport and they said they couldn't do that. No explanation why they can't.,,2015-02-24 10:22:11 -0800,,Central Time (US & Canada)
9011,570287318264905729,neutral,0.6762,,,,gleenc,,0,@USAirways any travel advisory coming for the Carolinas?  Bad weather!,,2015-02-24 10:21:06 -0800,,
9012,570286925556424705,negative,1.0,Customer Service Issue,0.6635,,EEB4,,0,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,,2015-02-24 10:19:33 -0800,"Washington, DC",Eastern Time (US & Canada)
